DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Período:2025
"Município de residência";"Casos_Prováveis"
"110001 ALTA FLORESTA D'OESTE";69
"110002 ARIQUEMES";84
"110003 CABIXI";25
"110004 CACOAL";47
"110005 CEREJEIRAS";13
"110006 COLORADO DO OESTE";8
"110007 CORUMBIARA";75
"110008 COSTA MARQUES";13
"110009 ESPIGAO D'OESTE";81
"110010 GUAJARA-MIRIM";6
"110011 JARU";51
"110012 JI-PARANA";57
"110013 MACHADINHO D'OESTE";11
"110014 NOVA BRASILANDIA D'OESTE";12
"110015 OURO PRETO DO OESTE";14
"110018 PIMENTA BUENO";4
"110020 PORTO VELHO";128
"110025 PRESIDENTE MEDICI";106
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";174
"110029 SANTA LUZIA D'OESTE";5
"110030 VILHENA";1241
"110032 SAO MIGUEL DO GUAPORE";6
"110033 NOVA MAMORE";17
"110034 ALVORADA D'OESTE";6
"110037 ALTO ALEGRE DOS PARECIS";30
"110040 ALTO PARAISO";20
"110045 BURITIS";20
"110050 NOVO HORIZONTE DO OESTE";6
"110060 CACAULANDIA";8
"110070 CAMPO NOVO DE RONDONIA";6
"110080 CANDEIAS DO JAMARI";4
"110090 CASTANHEIRAS";19
"110092 CHUPINGUAIA";12
"110094 CUJUBIM";12
"110100 GOVERNADOR JORGE TEIXEIRA";3
"110110 ITAPUA DO OESTE";1
"110120 MINISTRO ANDREAZZA";4
"110130 MIRANTE DA SERRA";6
"110140 MONTE NEGRO";2
"110143 NOVA UNIAO";16
"110145 PARECIS";8
"110146 PIMENTEIRAS DO OESTE";13
"110147 PRIMAVERA DE RONDONIA";11
"110148 SAO FELIPE D'OESTE";4
"110149 SAO FRANCISCO DO GUAPORE";83
"110150 SERINGUEIRAS";19
"110155 TEIXEIROPOLIS";2
"110170 URUPA";5
"110175 VALE DO ANARI";32
"110180 VALE DO PARAISO";1
"120001 ACRELANDIA";14
"120005 ASSIS BRASIL";60
"120010 BRASILEIA";12
"120013 BUJARI";64
"120017 CAPIXABA";33
"120020 CRUZEIRO DO SUL";2430
"120025 EPITACIOLANDIA";65
"120030 FEIJO";575
"120032 JORDAO";4
"120033 MANCIO LIMA";70
"120034 MANOEL URBANO";57
"120035 MARECHAL THAUMATURGO";138
"120038 PLACIDO DE CASTRO";30
"120039 PORTO WALTER";223
"120040 RIO BRANCO";3326
"120042 RODRIGUES ALVES";209
"120045 SENADOR GUIOMARD";50
"120050 SENA MADUREIRA";105
"120060 TARAUACA";286
"120070 XAPURI";49
"120080 PORTO ACRE";73
"130002 ALVARAES";20
"130008 ANAMA";1
"130014 APUI";2
"130020 ATALAIA DO NORTE";664
"130030 AUTAZES";3
"130040 BARCELOS";23
"130050 BARREIRINHA";2
"130060 BENJAMIN CONSTANT";247
"130063 BERURI";3
"130068 BOA VISTA DO RAMOS";1
"130070 BOCA DO ACRE";18
"130080 BORBA";18
"130083 CAAPIRANGA";2
"130090 CANUTAMA";24
"130100 CARAUARI";8
"130110 CAREIRO";3
"130115 CAREIRO DA VARZEA";1
"130120 COARI";48
"130130 CODAJAS";36
"130140 EIRUNEPE";317
"130150 ENVIRA";335
"130160 FONTE BOA";3
"130165 GUAJARA";222
"130170 HUMAITA";10
"130180 IPIXUNA";361
"130185 IRANDUBA";14
"130190 ITACOATIARA";6
"130210 JAPURA";38
"130220 JURUA";6
"130230 JUTAI";348
"130240 LABREA";45
"130250 MANACAPURU";34
"130255 MANAQUIRI";2
"130260 MANAUS";790
"130270 MANICORE";18
"130280 MARAA";26
"130290 MAUES";30
"130320 NOVO AIRAO";39
"130330 NOVO ARIPUANA";4
"130340 PARINTINS";7
"130353 PRESIDENTE FIGUEIREDO";65
"130356 RIO PRETO DA EVA";7
"130360 SANTA ISABEL DO RIO NEGRO";7
"130370 SANTO ANTONIO DO ICA";13
"130380 SAO GABRIEL DA CACHOEIRA";10
"130395 SAO SEBASTIAO DO UATUMA";1
"130406 TABATINGA";112
"130410 TAPAUA";13
"130420 TEFE";47
"130423 TONANTINS";46
"130430 URUCARA";2
"140002 AMAJARI";1
"140005 ALTO ALEGRE";2
"140010 BOA VISTA";126
"140015 BONFIM";6
"140017 CANTA";2
"140020 CARACARAI";34
"140023 CAROEBE";1
"140028 IRACEMA";6
"140030 MUCAJAI";2
"140040 NORMANDIA";1
"140045 PACARAIMA";47
"140047 RORAINOPOLIS";8
"140050 SAO JOAO DA BALIZA";8
"140060 SAO LUIZ";6
"140070 UIRAMUTA";1
"150010 ABAETETUBA";84
"150013 ABEL FIGUEIREDO";10
"150020 ACARA";29
"150030 AFUA";123
"150034 AGUA AZUL DO NORTE";3
"150040 ALENQUER";8
"150050 ALMEIRIM";5
"150060 ALTAMIRA";547
"150070 ANAJAS";31
"150080 ANANINDEUA";194
"150085 ANAPU";151
"150090 AUGUSTO CORREA";240
"150095 AURORA DO PARA";38
"150100 AVEIRO";35
"150110 BAGRE";2
"150120 BAIAO";25
"150125 BANNACH";10
"150130 BARCARENA";188
"150140 BELEM";664
"150145 BELTERRA";20
"150150 BENEVIDES";106
"150157 BOM JESUS DO TOCANTINS";20
"150160 BONITO";1
"150170 BRAGANCA";4
"150172 BRASIL NOVO";119
"150175 BREJO GRANDE DO ARAGUAIA";6
"150178 BREU BRANCO";80
"150180 BREVES";28
"150190 BUJARU";49
"150195 CACHOEIRA DO PIRIA";2
"150210 CAMETA";55
"150215 CANAA DOS CARAJAS";388
"150220 CAPANEMA";10
"150230 CAPITAO POCO";1
"150240 CASTANHAL";209
"150260 COLARES";31
"150270 CONCEICAO DO ARAGUAIA";284
"150275 CONCORDIA DO PARA";11
"150276 CUMARU DO NORTE";71
"150277 CURIONOPOLIS";35
"150280 CURRALINHO";8
"150285 CURUA";2
"150290 CURUCA";5
"150293 DOM ELISEU";98
"150295 ELDORADO DOS CARAJAS";124
"150304 FLORESTA DO ARAGUAIA";122
"150307 GARRAFAO DO NORTE";2
"150309 GOIANESIA DO PARA";20
"150310 GURUPA";2
"150320 IGARAPE-ACU";9
"150330 IGARAPE-MIRI";36
"150340 INHANGAPI";85
"150345 IPIXUNA DO PARA";12
"150350 IRITUIA";5
"150360 ITAITUBA";777
"150370 ITUPIRANGA";60
"150375 JACAREACANGA";5
"150380 JACUNDA";255
"150390 JURUTI";3
"150400 LIMOEIRO DO AJURU";4
"150405 MAE DO RIO";4
"150410 MAGALHAES BARATA";2
"150420 MARABA";132
"150430 MARACANA";5
"150442 MARITUBA";103
"150445 MEDICILANDIA";33
"150450 MELGACO";17
"150460 MOCAJUBA";11
"150470 MOJU";15
"150475 MOJUI DOS CAMPOS";5
"150480 MONTE ALEGRE";4
"150490 MUANA";5
"150495 NOVA ESPERANCA DO PIRIA";7
"150497 NOVA IPIXUNA";15
"150503 NOVO PROGRESSO";734
"150506 NOVO REPARTIMENTO";274
"150510 OBIDOS";1
"150520 OEIRAS DO PARA";3
"150530 ORIXIMINA";2
"150540 OUREM";1
"150543 OURILANDIA DO NORTE";64
"150548 PACAJA";912
"150549 PALESTINA DO PARA";60
"150550 PARAGOMINAS";12
"150553 PARAUAPEBAS";1032
"150555 PAU D'ARCO";100
"150560 PEIXE-BOI";12
"150565 PLACAS";107
"150570 PONTA DE PEDRAS";46
"150580 PORTEL";56
"150590 PORTO DE MOZ";4
"150600 PRAINHA";12
"150610 PRIMAVERA";9
"150613 REDENCAO";688
"150616 RIO MARIA";143
"150618 RONDON DO PARA";24
"150619 RUROPOLIS";74
"150620 SALINOPOLIS";5
"150630 SALVATERRA";5
"150635 SANTA BARBARA DO PARA";153
"150650 SANTA IZABEL DO PARA";47
"150655 SANTA LUZIA DO PARA";4
"150658 SANTA MARIA DAS BARREIRAS";76
"150660 SANTA MARIA DO PARA";7
"150670 SANTANA DO ARAGUAIA";153
"150680 SANTAREM";122
"150700 SANTO ANTONIO DO TAUA";6
"150710 SAO CAETANO DE ODIVELAS";3
"150715 SAO DOMINGOS DO ARAGUAIA";97
"150720 SAO DOMINGOS DO CAPIM";13
"150730 SAO FELIX DO XINGU";128
"150740 SAO FRANCISCO DO PARA";8
"150745 SAO GERALDO DO ARAGUAIA";7
"150746 SAO JOAO DA PONTA";2
"150750 SAO JOAO DO ARAGUAIA";100
"150760 SAO MIGUEL DO GUAMA";17
"150770 SAO SEBASTIAO DA BOA VISTA";5
"150775 SAPUCAIA";127
"150780 SENADOR JOSE PORFIRIO";47
"150790 SOURE";7
"150795 TAILANDIA";81
"150796 TERRA ALTA";3
"150800 TOME-ACU";305
"150803 TRACUATEUA";6
"150805 TRAIRAO";42
"150808 TUCUMA";113
"150810 TUCURUI";76
"150812 ULIANOPOLIS";3
"150815 URUARA";310
"150820 VIGIA";5
"150830 VISEU";25
"150835 VITORIA DO XINGU";166
"150840 XINGUARA";320
"160005 SERRA DO NAVIO";136
"160010 AMAPA";2
"160015 PEDRA BRANCA DO AMAPARI";110
"160020 CALCOENE";21
"160021 CUTIAS";1
"160023 FERREIRA GOMES";67
"160027 LARANJAL DO JARI";46
"160030 MACAPA";404
"160040 MAZAGAO";143
"160050 OIAPOQUE";97
"160053 PORTO GRANDE";42
"160055 PRACUUBA";27
"160060 SANTANA";221
"160070 TARTARUGALZINHO";24
"160080 VITORIA DO JARI";8
"170025 ABREULANDIA";1
"170030 AGUIARNOPOLIS";14
"170035 ALIANCA DO TOCANTINS";9
"170040 ALMAS";39
"170070 ALVORADA";54
"170100 ANANAS";10
"170105 ANGICO";1
"170110 APARECIDA DO RIO NEGRO";3
"170130 ARAGOMINAS";5
"170190 ARAGUACEMA";16
"170200 ARAGUACU";42
"170210 ARAGUAINA";330
"170215 ARAGUANA";1
"170220 ARAGUATINS";197
"170230 ARAPOEMA";7
"170240 ARRAIAS";33
"170255 AUGUSTINOPOLIS";55
"170270 AURORA DO TOCANTINS";2
"170290 AXIXA DO TOCANTINS";15
"170300 BABACULANDIA";14
"170305 BANDEIRANTES DO TOCANTINS";1
"170307 BARRA DO OURO";3
"170310 BARROLANDIA";7
"170330 BOM JESUS DO TOCANTINS";5
"170360 BRASILANDIA DO TOCANTINS";3
"170370 BREJINHO DE NAZARE";14
"170380 BURITI DO TOCANTINS";13
"170382 CACHOEIRINHA";5
"170384 CAMPOS LINDOS";5
"170388 CARMOLANDIA";8
"170389 CARRASCO BONITO";2
"170390 CASEARA";1
"170460 CHAPADA DE AREIA";1
"170510 CHAPADA DA NATIVIDADE";7
"170550 COLINAS DO TOCANTINS";108
"170555 COMBINADO";6
"170560 CONCEICAO DO TOCANTINS";3
"170600 COUTO MAGALHAES";7
"170610 CRISTALANDIA";1
"170625 CRIXAS DO TOCANTINS";2
"170650 DARCINOPOLIS";6
"170700 DIANOPOLIS";136
"170710 DIVINOPOLIS DO TOCANTINS";5
"170720 DOIS IRMAOS DO TOCANTINS";8
"170730 DUERE";3
"170740 ESPERANTINA";11
"170755 FATIMA";2
"170765 FIGUEIROPOLIS";7
"170770 FILADELFIA";4
"170820 FORMOSO DO ARAGUAIA";33
"170825 FORTALEZA DO TABOCAO";3
"170830 GOIANORTE";8
"170900 GOIATINS";2
"170930 GUARAI";20
"170950 GURUPI";183
"170980 IPUEIRAS";4
"171050 ITACAJA";11
"171070 ITAGUATINS";7
"171110 ITAPORA DO TOCANTINS";5
"171150 JAU DO TOCANTINS";7
"171180 JUARINA";4
"171190 LAGOA DA CONFUSAO";19
"171195 LAGOA DO TOCANTINS";1
"171200 LAJEADO";6
"171240 LIZARDA";1
"171245 LUZINOPOLIS";1
"171250 MARIANOPOLIS DO TOCANTINS";4
"171270 MATEIROS";3
"171280 MAURILANDIA DO TOCANTINS";1
"171320 MIRACEMA DO TOCANTINS";204
"171330 MIRANORTE";18
"171360 MONTE DO CARMO";6
"171370 MONTE SANTO DO TOCANTINS";5
"171380 PALMEIRAS DO TOCANTINS";3
"171395 MURICILANDIA";6
"171420 NATIVIDADE";15
"171430 NAZARE";1
"171488 NOVA OLINDA";34
"171500 NOVA ROSALANDIA";7
"171510 NOVO ACORDO";2
"171515 NOVO ALEGRE";12
"171525 NOVO JARDIM";7
"171550 OLIVEIRA DE FATIMA";10
"171570 PALMEIRANTE";5
"171575 PALMEIROPOLIS";11
"171610 PARAISO DO TOCANTINS";25
"171620 PARANA";140
"171630 PAU D'ARCO";4
"171650 PEDRO AFONSO";2
"171660 PEIXE";28
"171665 PEQUIZEIRO";4
"171670 COLMEIA";8
"171700 PINDORAMA DO TOCANTINS";8
"171720 PIRAQUE";4
"171750 PIUM";11
"171780 PONTE ALTA DO BOM JESUS";1
"171790 PONTE ALTA DO TOCANTINS";18
"171800 PORTO ALEGRE DO TOCANTINS";9
"171820 PORTO NACIONAL";405
"171830 PRAIA NORTE";5
"171840 PRESIDENTE KENNEDY";3
"171845 PUGMIL";28
"171855 RIACHINHO";3
"171865 RIO DA CONCEICAO";7
"171870 RIO DOS BOIS";6
"171880 SAMPAIO";8
"171884 SANDOLANDIA";12
"171886 SANTA FE DO ARAGUAIA";1
"171890 SANTA ROSA DO TOCANTINS";8
"171900 SANTA TEREZA DO TOCANTINS";15
"172000 SANTA TEREZINHA DO TOCANTINS";1
"172020 SAO MIGUEL DO TOCANTINS";22
"172025 SAO SALVADOR DO TOCANTINS";8
"172030 SAO SEBASTIAO DO TOCANTINS";2
"172049 SAO VALERIO";1
"172065 SILVANOPOLIS";14
"172080 SITIO NOVO DO TOCANTINS";15
"172085 SUCUPIRA";5
"172090 TAGUATINGA";17
"172100 PALMAS";218
"172110 TOCANTINIA";24
"172120 TOCANTINOPOLIS";41
"172208 WANDERLANDIA";3
"172210 XAMBIOA";3
