code,name,Casos_Prováveis
110001,ALTA FLORESTA D'OESTE,33.0
110002,ARIQUEMES,5.0
110003,CABIXI,7.0
110004,CACOAL,10.0
110005,CEREJEIRAS,2.0
110006,COLORADO DO OESTE,7.0
110007,CORUMBIARA,31.0
110008,COSTA MARQUES,3.0
110009,ESPIGAO D'OESTE,11.0
110010,GUAJARA-MIRIM,1.0
110011,JARU,15.0
110012,JI-PARANA,18.0
110013,MACHADINHO D'OESTE,9.0
110014,NOVA BRASILANDIA D'OESTE,4.0
110015,OURO PRETO DO OESTE,3.0
110018,PIMENTA BUENO,1.0
110020,PORTO VELHO,59.0
110025,PRESIDENTE MEDICI,69.0
110028,ROLIM DE MOURA,19.0
110029,SANTA LUZIA D'OESTE,3.0
110030,VILHENA,258.0
110032,SAO MIGUEL DO GUAPORE,1.0
110033,NOVA MAMORE,8.0
110034,ALVORADA D'OESTE,3.0
110037,ALTO ALEGRE DOS PARECIS,13.0
110040,ALTO PARAISO,5.0
110045,BURITIS,14.0
110060,CACAULANDIA,6.0
110070,CAMPO NOVO DE RONDONIA,9.0
110080,CANDEIAS DO JAMARI,3.0
110092,CHUPINGUAIA,2.0
110094,CUJUBIM,4.0
110100,GOVERNADOR JORGE TEIXEIRA,1.0
110110,ITAPUA DO OESTE,1.0
110130,MIRANTE DA SERRA,3.0
110140,MONTE NEGRO,2.0
110143,NOVA UNIAO,3.0
110147,PRIMAVERA DE RONDONIA,5.0
110148,SAO FELIPE D'OESTE,2.0
110149,SAO FRANCISCO DO GUAPORE,6.0
110150,SERINGUEIRAS,5.0
110155,TEIXEIROPOLIS,1.0
110160,THEOBROMA,1.0
110170,URUPA,4.0
110175,VALE DO ANARI,10.0
110180,VALE DO PARAISO,1.0
120001,ACRELANDIA,17.0
120005,ASSIS BRASIL,32.0
120010,BRASILEIA,60.0
120013,BUJARI,43.0
120017,CAPIXABA,17.0
120020,CRUZEIRO DO SUL,2293.0
120025,EPITACIOLANDIA,35.0
120030,FEIJO,395.0
120032,JORDAO,3.0
120033,MANCIO LIMA,29.0
120034,MANOEL URBANO,73.0
120035,MARECHAL THAUMATURGO,110.0
120038,PLACIDO DE CASTRO,8.0
120039,PORTO WALTER,199.0
120040,RIO BRANCO,2778.0
120042,RODRIGUES ALVES,348.0
120045,SENADOR GUIOMARD,101.0
120050,SENA MADUREIRA,77.0
120060,TARAUACA,693.0
120070,XAPURI,68.0
120080,PORTO ACRE,47.0
130002,ALVARAES,2.0
130008,ANAMA,1.0
130020,ATALAIA DO NORTE,103.0
130030,AUTAZES,1.0
130040,BARCELOS,1.0
130060,BENJAMIN CONSTANT,289.0
130063,BERURI,6.0
130070,BOCA DO ACRE,11.0
130080,BORBA,7.0
130083,CAAPIRANGA,1.0
130100,CARAUARI,5.0
130110,CAREIRO,3.0
130120,COARI,29.0
130130,CODAJAS,45.0
130140,EIRUNEPE,143.0
130150,ENVIRA,279.0
130160,FONTE BOA,1.0
130165,GUAJARA,181.0
130170,HUMAITA,6.0
130180,IPIXUNA,237.0
130185,IRANDUBA,12.0
130190,ITACOATIARA,7.0
130210,JAPURA,19.0
130220,JURUA,3.0
130230,JUTAI,156.0
130240,LABREA,37.0
130250,MANACAPURU,40.0
130260,MANAUS,459.0
130270,MANICORE,5.0
130280,MARAA,15.0
130290,MAUES,29.0
130320,NOVO AIRAO,38.0
130330,NOVO ARIPUANA,2.0
