DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Período:2025
"Município de residência";"Casos_Prováveis"
"110001 ALTA FLORESTA D'OESTE";201
"110002 ARIQUEMES";175
"110003 CABIXI";26
"110004 CACOAL";55
"110005 CEREJEIRAS";30
"110006 COLORADO DO OESTE";8
"110007 CORUMBIARA";94
"110008 COSTA MARQUES";10
"110009 ESPIGAO D'OESTE";132
"110010 GUAJARA-MIRIM";6
"110011 JARU";66
"110012 JI-PARANA";146
"110013 MACHADINHO D'OESTE";15
"110014 NOVA BRASILANDIA D'OESTE";19
"110015 OURO PRETO DO OESTE";13
"110018 PIMENTA BUENO";5
"110020 PORTO VELHO";160
"110025 PRESIDENTE MEDICI";69
"110026 RIO CRESPO";3
"110028 ROLIM DE MOURA";194
"110029 SANTA LUZIA D'OESTE";11
"110030 VILHENA";1367
"110032 SAO MIGUEL DO GUAPORE";8
"110033 NOVA MAMORE";22
"110034 ALVORADA D'OESTE";6
"110037 ALTO ALEGRE DOS PARECIS";33
"110040 ALTO PARAISO";20
"110045 BURITIS";28
"110050 NOVO HORIZONTE DO OESTE";7
"110060 CACAULANDIA";9
"110070 CAMPO NOVO DE RONDONIA";4
"110080 CANDEIAS DO JAMARI";17
"110090 CASTANHEIRAS";22
"110092 CHUPINGUAIA";58
"110094 CUJUBIM";14
"110100 GOVERNADOR JORGE TEIXEIRA";4
"110110 ITAPUA DO OESTE";10
"110120 MINISTRO ANDREAZZA";4
"110130 MIRANTE DA SERRA";10
"110140 MONTE NEGRO";2
"110143 NOVA UNIAO";19
"110145 PARECIS";33
"110146 PIMENTEIRAS DO OESTE";14
"110147 PRIMAVERA DE RONDONIA";12
"110148 SAO FELIPE D'OESTE";4
"110149 SAO FRANCISCO DO GUAPORE";56
"110150 SERINGUEIRAS";6
"110155 TEIXEIROPOLIS";3
"110160 THEOBROMA";1
"110170 URUPA";6
"110175 VALE DO ANARI";59
"110180 VALE DO PARAISO";1
"120001 ACRELANDIA";20
"120005 ASSIS BRASIL";63
"120010 BRASILEIA";12
"120013 BUJARI";73
"120017 CAPIXABA";39
"120020 CRUZEIRO DO SUL";3298
"120025 EPITACIOLANDIA";87
"120030 FEIJO";590
"120032 JORDAO";5
"120033 MANCIO LIMA";73
"120034 MANOEL URBANO";62
"120035 MARECHAL THAUMATURGO";145
"120038 PLACIDO DE CASTRO";29
"120039 PORTO WALTER";266
"120040 RIO BRANCO";3485
"120042 RODRIGUES ALVES";209
"120045 SENADOR GUIOMARD";49
"120050 SENA MADUREIRA";145
"120060 TARAUACA";272
"120070 XAPURI";49
"120080 PORTO ACRE";69
"130002 ALVARAES";11
"130008 ANAMA";1
"130014 APUI";2
"130020 ATALAIA DO NORTE";616
"130030 AUTAZES";3
"130040 BARCELOS";29
"130050 BARREIRINHA";2
"130060 BENJAMIN CONSTANT";267
"130063 BERURI";3
"130070 BOCA DO ACRE";18
"130080 BORBA";13
"130083 CAAPIRANGA";2
"130090 CANUTAMA";24
"130100 CARAUARI";13
"130110 CAREIRO";3
"130115 CAREIRO DA VARZEA";1
"130120 COARI";62
"130130 CODAJAS";38
"130140 EIRUNEPE";369
"130150 ENVIRA";317
"130160 FONTE BOA";6
"130165 GUAJARA";262
"130170 HUMAITA";7
"130180 IPIXUNA";285
"130185 IRANDUBA";18
"130190 ITACOATIARA";77
"130210 JAPURA";46
"130220 JURUA";1
"130230 JUTAI";326
"130240 LABREA";64
"130250 MANACAPURU";38
"130255 MANAQUIRI";2
"130260 MANAUS";808
"130270 MANICORE";18
"130280 MARAA";7
"130290 MAUES";26
"130320 NOVO AIRAO";38
"130330 NOVO ARIPUANA";4
"130340 PARINTINS";7
"130350 PAUINI";1
"130353 PRESIDENTE FIGUEIREDO";64
"130356 RIO PRETO DA EVA";3
"130360 SANTA ISABEL DO RIO NEGRO";8
"130370 SANTO ANTONIO DO ICA";8
"130380 SAO GABRIEL DA CACHOEIRA";11
"130390 SAO PAULO DE OLIVENCA";24
"130395 SAO SEBASTIAO DO UATUMA";1
"130406 TABATINGA";65
"130410 TAPAUA";13
"130420 TEFE";54
"130423 TONANTINS";24
"130430 URUCARA";2
"140002 AMAJARI";2
"140005 ALTO ALEGRE";3
"140010 BOA VISTA";165
"140015 BONFIM";10
"140017 CANTA";8
"140020 CARACARAI";36
"140023 CAROEBE";1
"140028 IRACEMA";6
"140030 MUCAJAI";3
"140040 NORMANDIA";1
"140045 PACARAIMA";59
"140047 RORAINOPOLIS";19
"140050 SAO JOAO DA BALIZA";9
"140060 SAO LUIZ";6
"140070 UIRAMUTA";3
"150010 ABAETETUBA";81
"150013 ABEL FIGUEIREDO";10
"150020 ACARA";18
"150030 AFUA";143
"150034 AGUA AZUL DO NORTE";8
"150040 ALENQUER";9
"150050 ALMEIRIM";5
"150060 ALTAMIRA";559
"150070 ANAJAS";35
"150080 ANANINDEUA";174
"150085 ANAPU";123
"150090 AUGUSTO CORREA";336
"150095 AURORA DO PARA";21
"150100 AVEIRO";38
"150110 BAGRE";2
"150120 BAIAO";23
"150125 BANNACH";10
"150130 BARCARENA";192
"150140 BELEM";748
"150145 BELTERRA";38
"150150 BENEVIDES";116
"150157 BOM JESUS DO TOCANTINS";19
"150160 BONITO";1
"150170 BRAGANCA";5
"150172 BRASIL NOVO";114
"150175 BREJO GRANDE DO ARAGUAIA";6
"150178 BREU BRANCO";97
"150180 BREVES";30
"150190 BUJARU";51
"150195 CACHOEIRA DO PIRIA";3
"150210 CAMETA";64
"150215 CANAA DOS CARAJAS";454
"150220 CAPANEMA";12
"150230 CAPITAO POCO";2
"150240 CASTANHAL";299
"150250 CHAVES";1
"150260 COLARES";52
"150270 CONCEICAO DO ARAGUAIA";302
"150275 CONCORDIA DO PARA";19
"150276 CUMARU DO NORTE";159
"150277 CURIONOPOLIS";42
"150280 CURRALINHO";10
"150285 CURUA";1
"150290 CURUCA";5
"150293 DOM ELISEU";145
"150295 ELDORADO DOS CARAJAS";166
"150304 FLORESTA DO ARAGUAIA";168
"150307 GARRAFAO DO NORTE";2
"150309 GOIANESIA DO PARA";23
"150310 GURUPA";2
"150320 IGARAPE-ACU";13
"150330 IGARAPE-MIRI";36
"150340 INHANGAPI";82
"150345 IPIXUNA DO PARA";19
"150350 IRITUIA";2
"150360 ITAITUBA";569
"150370 ITUPIRANGA";61
"150375 JACAREACANGA";6
"150380 JACUNDA";260
"150390 JURUTI";5
"150400 LIMOEIRO DO AJURU";6
"150405 MAE DO RIO";7
"150410 MAGALHAES BARATA";2
"150420 MARABA";89
"150430 MARACANA";6
"150442 MARITUBA";90
"150445 MEDICILANDIA";50
"150450 MELGACO";20
"150460 MOCAJUBA";18
"150470 MOJU";23
"150475 MOJUI DOS CAMPOS";7
"150490 MUANA";6
"150495 NOVA ESPERANCA DO PIRIA";9
"150497 NOVA IPIXUNA";17
"150503 NOVO PROGRESSO";773
"150506 NOVO REPARTIMENTO";297
"150510 OBIDOS";10
"150520 OEIRAS DO PARA";7
"150530 ORIXIMINA";1
"150540 OUREM";2
"150543 OURILANDIA DO NORTE";66
"150548 PACAJA";980
"150549 PALESTINA DO PARA";68
"150550 PARAGOMINAS";18
"150553 PARAUAPEBAS";1157
"150555 PAU D'ARCO";122
"150560 PEIXE-BOI";8
"150565 PLACAS";140
"150570 PONTA DE PEDRAS";24
"150580 PORTEL";42
"150590 PORTO DE MOZ";4
"150600 PRAINHA";37
"150610 PRIMAVERA";9
"150613 REDENCAO";538
