Cod Mun,Nome Mun,Casos Provaveis
110001,ALTA FLORESTA D'OESTE,201.0
110002,ARIQUEMES,175.0
110003,CABIXI,26.0
110004,CACOAL,55.0
110005,CEREJEIRAS,30.0
110006,COLORADO DO OESTE,8.0
110007,CORUMBIARA,94.0
110008,COSTA MARQUES,10.0
110009,ESPIGAO D'OESTE,132.0
110010,GUAJARA-MIRIM,6.0
110011,JARU,66.0
110012,JI-PARANA,146.0
110013,MACHADINHO D'OESTE,15.0
110014,NOVA BRASILANDIA D'OESTE,19.0
110015,OURO PRETO DO OESTE,13.0
110018,PIMENTA BUENO,5.0
110020,PORTO VELHO,160.0
110025,PRESIDENTE MEDICI,69.0
110026,RIO CRESPO,3.0
110028,ROLIM DE MOURA,194.0
110029,SANTA LUZIA D'OESTE,11.0
110030,VILHENA,1367.0
110032,SAO MIGUEL DO GUAPORE,8.0
110033,NOVA MAMORE,22.0
110034,ALVORADA D'OESTE,6.0
110037,ALTO ALEGRE DOS PARECIS,33.0
110040,ALTO PARAISO,20.0
110045,BURITIS,28.0
110050,NOVO HORIZONTE DO OESTE,7.0
110060,CACAULANDIA,9.0
110070,CAMPO NOVO DE RONDONIA,4.0
110080,CANDEIAS DO JAMARI,17.0
110090,CASTANHEIRAS,22.0
110092,CHUPINGUAIA,58.0
110094,CUJUBIM,14.0
110100,GOVERNADOR JORGE TEIXEIRA,4.0
110110,ITAPUA DO OESTE,10.0
110120,MINISTRO ANDREAZZA,4.0
110130,MIRANTE DA SERRA,10.0
110140,MONTE NEGRO,2.0
110143,NOVA UNIAO,19.0
110145,PARECIS,33.0
110146,PIMENTEIRAS DO OESTE,14.0
110147,PRIMAVERA DE RONDONIA,12.0
110148,SAO FELIPE D'OESTE,4.0
110149,SAO FRANCISCO DO GUAPORE,56.0
110150,SERINGUEIRAS,6.0
110155,TEIXEIROPOLIS,3.0
110160,THEOBROMA,1.0
110170,URUPA,6.0
110175,VALE DO ANARI,59.0
110180,VALE DO PARAISO,1.0
120001,ACRELANDIA,20.0
120005,ASSIS BRASIL,63.0
120010,BRASILEIA,12.0
120013,BUJARI,73.0
120017,CAPIXABA,39.0
120020,CRUZEIRO DO SUL,3298.0
120025,EPITACIOLANDIA,87.0
120030,FEIJO,590.0
120032,JORDAO,5.0
120033,MANCIO LIMA,73.0
120034,MANOEL URBANO,62.0
120035,MARECHAL THAUMATURGO,145.0
120038,PLACIDO DE CASTRO,29.0
120039,PORTO WALTER,266.0
120040,RIO BRANCO,3485.0
120042,RODRIGUES ALVES,209.0
120045,SENADOR GUIOMARD,49.0
120050,SENA MADUREIRA,145.0
120060,TARAUACA,272.0
120070,XAPURI,49.0
120080,PORTO ACRE,69.0
130002,ALVARAES,11.0
130008,ANAMA,1.0
130014,APUI,2.0
130020,ATALAIA DO NORTE,616.0
130030,AUTAZES,3.0
130040,BARCELOS,29.0
130050,BARREIRINHA,2.0
130060,BENJAMIN CONSTANT,267.0
130063,BERURI,3.0
130070,BOCA DO ACRE,18.0
130080,BORBA,13.0
130083,CAAPIRANGA,2.0
130090,CANUTAMA,24.0
130100,CARAUARI,13.0
130110,CAREIRO,3.0
130115,CAREIRO DA VARZEA,1.0
130120,COARI,62.0
130130,CODAJAS,38.0
130140,EIRUNEPE,369.0
130150,ENVIRA,317.0
130160,FONTE BOA,6.0
130165,GUAJARA,262.0
