Header,Data
2024/01 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/01	8,236
Centro-Oeste	Goias	2024/01	3,525
Centro-Oeste	Mato Grosso	2024/01	554
Centro-Oeste	Mato Grosso Do Sul	2024/01	200
Nordeste	Alagoas	2024/01	65
Nordeste	Bahia	2024/01	657
Nordeste	Ceara	2024/01	66
Nordeste	Maranhao	2024/01	63
Nordeste	Paraiba	2024/01	54
Nordeste	Pernambuco	2024/01	78
Nordeste	Piaui	2024/01	88
Nordeste	Rio Grande Do Norte	2024/01	118
Nordeste	Sergipe	2024/01	19
Norte	Acre	2024/01	662
Norte	Amapa	2024/01	140
Norte	Amazonas	2024/01	510
Norte	Para	2024/01	187
Norte	Rondonia	2024/01	89
Norte	Roraima	2024/01	3
Norte	Tocantins	2024/01	33
Sudeste	Espirito Santo	2024/01	1,146
Sudeste	Minas Gerais	2024/01	16,976
Sudeste	Rio De Janeiro	2024/01	4,233
Sudeste	Sao Paulo	2024/01	7,209
Sul	Parana	2024/01	5,446
Sul	Rio Grande Do Sul	2024/01	349
Sul	Santa Catarina	2024/01	531"
2024/02 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/02	8,508
Centro-Oeste	Goias	2024/02	3,897
Centro-Oeste	Mato Grosso	2024/02	614
Centro-Oeste	Mato Grosso Do Sul	2024/02	268
Nordeste	Alagoas	2024/02	59
Nordeste	Bahia	2024/02	783
Nordeste	Ceara	2024/02	74
Nordeste	Maranhao	2024/02	87
Nordeste	Paraiba	2024/02	92
Nordeste	Pernambuco	2024/02	58
Nordeste	Piaui	2024/02	137
Nordeste	Rio Grande Do Norte	2024/02	120
Nordeste	Sergipe	2024/02	26
Norte	Acre	2024/02	497
Norte	Amapa	2024/02	209
Norte	Amazonas	2024/02	469
Norte	Para	2024/02	242
Norte	Rondonia	2024/02	96
Norte	Roraima	2024/02	6
Norte	Tocantins	2024/02	49
Sudeste	Espirito Santo	2024/02	1,415
Sudeste	Minas Gerais	2024/02	21,907
Sudeste	Rio De Janeiro	2024/02	4,801
Sudeste	Sao Paulo	2024/02	9,072
Sul	Parana	2024/02	7,037
Sul	Rio Grande Do Sul	2024/02	467
Sul	Santa Catarina	2024/02	710"
2024/03 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/03	12,779
Centro-Oeste	Goias	2024/03	5,141
Centro-Oeste	Mato Grosso	2024/03	873
Centro-Oeste	Mato Grosso Do Sul	2024/03	389
Nordeste	Alagoas	2024/03	60
Nordeste	Bahia	2024/03	1,015
Nordeste	Ceara	2024/03	102
Nordeste	Maranhao	2024/03	88
Nordeste	Paraiba	2024/03	98
Nordeste	Pernambuco	2024/03	83
Nordeste	Piaui	2024/03	109
Nordeste	Rio Grande Do Norte	2024/03	143
Nordeste	Sergipe	2024/03	17
Norte	Acre	2024/03	463
Norte	Amapa	2024/03	217
Norte	Amazonas	2024/03	606
Norte	Para	2024/03	325
Norte	Rondonia	2024/03	157
Norte	Roraima	2024/03	5
Norte	Tocantins	2024/03	55
Sudeste	Espirito Santo	2024/03	2,007
Sudeste	Minas Gerais	2024/03	33,516
Sudeste	Rio De Janeiro	2024/03	6,985
Sudeste	Sao Paulo	2024/03	13,375
Sul	Parana	2024/03	9,657
Sul	Rio Grande Do Sul	2024/03	790
Sul	Santa Catarina	2024/03	1,119"
2024/04 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/04	18,881
Centro-Oeste	Goias	2024/04	7,910
Centro-Oeste	Mato Grosso	2024/04	1,028
Centro-Oeste	Mato Grosso Do Sul	2024/04	475
Nordeste	Alagoas	2024/04	68
Nordeste	Bahia	2024/04	1,468
Nordeste	Ceara	2024/04	142
Nordeste	Maranhao	2024/04	82
Nordeste	Paraiba	2024/04	91
Nordeste	Pernambuco	2024/04	113
Nordeste	Piaui	2024/04	123
Nordeste	Rio Grande Do Norte	2024/04	131
Nordeste	Sergipe	2024/04	16
Norte	Acre	2024/04	356
Norte	Amapa	2024/04	196
